,name,price,rating,review,url,Manufacturer,Asin
35,,,,,https://aax-eu.amazon.in/x/c/RChuoRB1k7u9EeNJkdC-zOAAAAGHneP7KwMAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICAvBgQA/https://www.amazon.in/Sirona-Sanitary-Napkin-Diapers-Disposal/dp/B01NAZVN8M/ref=sxin_16_sbv_search_btf?content-id=amzn1.sym.93240040-7510-4cf9-a1aa-e295d190738a%3Aamzn1.sym.93240040-7510-4cf9-a1aa-e295d190738a&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B01NAZVN8M&pd_rd_r=41ad3f7b-4588-4310-a270-d5d1bf2fc017&pd_rd_w=fvLAs&pd_rd_wg=ut9n6&pf_rd_p=93240040-7510-4cf9-a1aa-e295d190738a&pf_rd_r=KNFQD7M160KD4JBVBF14&qid=1681981176&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-49-69854b2b-eed5-48c0-8a3b-ed25f92e9cd8,ManufacturerArcticFox,ASINB08L6Q9V1H
36,        F Gear Raider 30 Liter Backpack with Rain Cover (.Marpat Navy Digital Camo)       ,792.,4.2 out of 5 stars,"2,948 ratings",/F-Gear-Raider-Marpat-Navy-Backpack/dp/B07F1157TV/ref=sr_1_54?crid=2M096C61O4MLT&keywords=bags&qid=1681981176&sprefix=ba%2Caps%2C283&sr=8-54,DateFirstAvailable24June2018,ManufacturerUberFashionMerchandisePvtLtd
37,,,,,/Step-Backpack-Small-Water-Repellant/dp/B088XG77KN/ref=sr_1_55?crid=2M096C61O4MLT&keywords=bags&qid=1681981176&sprefix=ba%2Caps%2C283&sr=8-55,DateFirstAvailable24June2018,ManufacturerUberFashionMerchandisePvtLtd
38,        Gear Vintage2 28L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Brown       ,990.,4.4 out of 5 stars,"4,019 ratings",/Gear-Vintage2-Leather-Backpack-LBPVG2LTH0201/dp/B07G4D13L7/ref=sr_1_56?crid=2M096C61O4MLT&keywords=bags&qid=1681981176&sprefix=ba%2Caps%2C283&sr=8-56,ManufacturerGearMerchandisePVTLTD,ASINB07G4D13L7
39,        F Gear Luxur Brown 25 liter Laptop Backpack (2404)       ,999.,4.4 out of 5 stars,"16,594 ratings",/F-Gear-Luxur-Brown-Backpack/dp/B01F7AX9ZA/ref=sr_1_57?crid=2M096C61O4MLT&keywords=bags&qid=1681981176&sprefix=ba%2Caps%2C283&sr=8-57,DateFirstAvailable15September2015,ManufacturerUberFashionMerchandisePvtLtd
40,,,,,/sspa/click?ie=UTF8&spc=MTo0ODI5ODk5NDY5OTg0OTA0OjE2ODE5ODExODU6c3BfYXRmX25leHQ6MjAxMzY4NDcxNTQwOTg6OjA6Og&url=%2FLOOKMUSTER-Waterproof-Backpack-College-Business%2Fdp%2FB0BZW8KW18%2Fref%3Dsr_1_65_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1681981185%26sprefix%3Dba%252Caps%252C283%26sr%3D8-65-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,DateFirstAvailable15September2015,ManufacturerUberFashionMerchandisePvtLtd
41,"        Half Moon Vision Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment |       ",509,4.2 out of 5 stars,12 ratings,/sspa/click?ie=UTF8&spc=MTo0ODI5ODk5NDY5OTg0OTA0OjE2ODE5ODExODU6c3BfYXRmX25leHQ6MjAxMzIwNzU1MjA2OTg6OjA6Og&url=%2FHalf-Moon-Resistant-Backpack-Compartment%2Fdp%2FB0BYW5SH4L%2Fref%3Dsr_1_66_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1681981185%26sprefix%3Dba%252Caps%252C283%26sr%3D8-66-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,ManufacturerHalf_Moon,ASINB0BYW5SH4L
42,        Gear Moderneco5 21L Water Resistant School Bag/Backpack/College Bag For Men/Women - Navyblue       ,439.,3.9 out of 5 stars,"2,565 ratings",/Gear-Ltrs-Casual-Backpack-MDBKPECO50504/dp/B0757K36YV/ref=sr_1_67?crid=2M096C61O4MLT&keywords=bags&qid=1681981185&sprefix=ba%2Caps%2C283&sr=8-67,ManufacturerGearMerchandisePVTLTD,ASINB0757K36YV
43,        F Gear Luxur Brown 25 liter Laptop Backpack (2404)       ,999.,4.4 out of 5 stars,"16,594 ratings",/F-Gear-Luxur-Brown-Backpack/dp/B01F7AX9ZA/ref=sr_1_68?crid=2M096C61O4MLT&keywords=bags&qid=1681981185&sprefix=ba%2Caps%2C283&sr=8-68,DateFirstAvailable15September2015,ManufacturerUberFashionMerchandisePvtLtd
44,        ADISA Light Weight Laptop Backpack 32 Ltrs       ,499,4.0 out of 5 stars,"5,757 ratings",/ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ/ref=sr_1_69?crid=2M096C61O4MLT&keywords=bags&qid=1681981185&sprefix=ba%2Caps%2C283&sr=8-69,ManufacturerADISA,ASINB07F3X45WZ
